"Name","DisplayName","Description","Version","Publisher","Category","Source","Path"
"project-manager","Project Manager","Easily switch between projects","12.8.0","alefragnani","Other","Cursor","C:\Users\Chris\.cursor\extensions\alefragnani.project-manager-12.8.0"
"pyright","Cursor Pyright","Cursor Language server","1.1.327","anysphere","Language","Cursor","C:\Users\Chris\.cursor\extensions\anysphere.pyright-1.1.327-universal"
"appmap","AppMap","AI-driven chat with a deep understanding of your code. Build effective solutions using an intuitive chat interface and powerful code visualizations.","0.133.2","appland","Language","Cursor","C:\Users\Chris\.cursor\extensions\appland.appmap-0.133.2"
"Code-Mate","CodeMate AI- Your Smartest AI Coding Assistant","CodeMate is an AI programming assistant that helps you write better code. It helps you understand complex codebase, generate code, fix errors, optimize or review code, and more. It works with Python, C++, C, Java, Javascript, Typescript, Ruby & all major programming languages. Try it out for free!.","2.9.14","AyushSinghal","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\ayushsinghal.code-mate-2.9.14"
"vscode-intelephense-client","PHP Intelephense","PHP code intelligence for Visual Studio Code","1.14.3","bmewburn","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\bmewburn.vscode-intelephense-client-1.14.3"
"ember-module-snippets","Ember Module Snippets","Snippets to make importing Ember modules a snap in VSCode.","1.3.121","candidmetrics","Snippet","Cursor","C:\Users\Chris\.cursor\extensions\candidmetrics.ember-module-snippets-1.3.121"
"gitignore","gitignore","Lets you pull .gitignore templates from the https://github.com/github/gitignore repository. Language support for .gitignore files.","0.10.0","codezombiech","Language","Cursor","C:\Users\Chris\.cursor\extensions\codezombiech.gitignore-0.10.0"
"vscode-markdownlint","markdownlint","Markdown linting and style checking for Visual Studio Code","0.59.0","DavidAnson","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\davidanson.vscode-markdownlint-0.59.0"
"githistory","Git History","View git log, file history, compare branches or commits","0.6.20","donjayamanne","Source Control","Cursor","C:\Users\Chris\.cursor\extensions\donjayamanne.githistory-0.6.20"
"emberjs","Ember.js Extension Pack","All the extensions you need for developing Ember.js applications.","2.0.6","EmberTooling","Extension Pack","Cursor","C:\Users\Chris\.cursor\extensions\embertooling.emberjs-2.0.6"
"vscode-ember","Ember Language Server","Provides features like auto complete, goto definition and diagnostics for Ember.js projects","3.0.59","EmberTooling","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\embertooling.vscode-ember-3.0.59"
"EntelligenceAI","EntelligenceAI","Stop context-switching between your editor and ChatGPT. EntelligenceAI brings the power of AI right into VS Code, helping you code smart.","0.0.49","EntelligenceAI","AI Assistant","Cursor","C:\Users\Chris\.cursor\extensions\entelligenceai.entelligenceai-0.0.49"
"prettier-vscode","Prettier - Code formatter","Code formatter using prettier","11.0.0","esbenp","Linter/Formatter","Cursor","C:\Users\Chris\.cursor\extensions\esbenp.prettier-vscode-11.0.0"
"foam-vscode","Foam","VS Code + Markdown + Wikilinks for your note taking and knowledge base","0.26.8","foam","Other","Cursor","C:\Users\Chris\.cursor\extensions\foam.foam-vscode-0.26.8"
"codespaces","%extension.codespaces.displayName%","%extension.codespaces.description%","1.17.3","GitHub","Other","Cursor","C:\Users\Chris\.cursor\extensions\github.codespaces-1.17.3"
"vscode-github-actions","GitHub Actions","GitHub Actions workflows and runs for github.com hosted repositories in VS Code","0.27.1","github","Source Control","Cursor","C:\Users\Chris\.cursor\extensions\github.vscode-github-actions-0.27.1"
"vscode-pull-request-github","%displayName%","%description%","0.100.3","GitHub","Source Control","Cursor","C:\Users\Chris\.cursor\extensions\github.vscode-pull-request-github-0.100.3"
"vscode-pull-request-github","%displayName%","%description%","0.102.0","GitHub","Source Control","Cursor","C:\Users\Chris\.cursor\extensions\github.vscode-pull-request-github-0.102.0"
